Column1;col1;col2
487;u+0001f4c3;\xf0\x9f\x93\x83
488;u+0001f4c4;\xf0\x9f\x93\x84
489;u+0001f4c5;\xf0\x9f\x93\x85
490;u+0001f4c6;\xf0\x9f\x93\x86
491;u+0001f4c7;\xf0\x9f\x93\x87
492;u+0001f4c8;\xf0\x9f\x93\x88
493;u+0001f4c9;\xf0\x9f\x93\x89
494;u+0001f4ca;\xf0\x9f\x93\x8a
495;u+0001f4cb;\xf0\x9f\x93\x8b
496;u+0001f4cc;\xf0\x9f\x93\x8c
497;u+0001f4cd;\xf0\x9f\x93\x8d
498;u+0001f4ce;\xf0\x9f\x93\x8e
499;u+0001f4cf;\xf0\x9f\x93\x8f
500;u+0001f4d0;\xf0\x9f\x93\x90
501;u+0001f4d1;\xf0\x9f\x93\x91
502;u+0001f4d2;\xf0\x9f\x93\x92
503;u+0001f4d3;\xf0\x9f\x93\x93
504;u+0001f4d4;\xf0\x9f\x93\x94
505;u+0001f4d5;\xf0\x9f\x93\x95
506;u+0001f4d6;\xf0\x9f\x93\x96
507;u+0001f4d7;\xf0\x9f\x93\x97
508;u+0001f4d8;\xf0\x9f\x93\x98
509;u+0001f4d9;\xf0\x9f\x93\x99
510;u+0001f4da;\xf0\x9f\x93\x9a
511;u+0001f4db;\xf0\x9f\x93\x9b
512;u+0001f4dc;\xf0\x9f\x93\x9c
513;u+0001f4dd;\xf0\x9f\x93\x9d
514;u+0001f4de;\xf0\x9f\x93\x9e
515;u+0001f4df;\xf0\x9f\x93\x9f
516;u+0001f4e0;\xf0\x9f\x93\xa0
517;u+0001f4e1;\xf0\x9f\x93\xa1
518;u+0001f4e2;\xf0\x9f\x93\xa2
519;u+0001f4e3;\xf0\x9f\x93\xa3
520;u+0001f4e4;\xf0\x9f\x93\xa4
521;u+0001f4e5;\xf0\x9f\x93\xa5
522;u+0001f4e6;\xf0\x9f\x93\xa6
523;u+0001f4e7;\xf0\x9f\x93\xa7
524;u+0001f4e8;\xf0\x9f\x93\xa8
525;u+0001f4e9;\xf0\x9f\x93\xa9
526;u+0001f4ea;\xf0\x9f\x93\xaa
527;u+0001f4eb;\xf0\x9f\x93\xab
528;u+0001f4ec;\xf0\x9f\x93\xac
529;u+0001f4ed;\xf0\x9f\x93\xad
530;u+0001f4ee;\xf0\x9f\x93\xae
531;u+0001f4ef;\xf0\x9f\x93\xaf
532;u+0001f4f0;\xf0\x9f\x93\xb0
533;u+0001f4f1;\xf0\x9f\x93\xb1
534;u+0001f4f2;\xf0\x9f\x93\xb2
535;u+0001f4f3;\xf0\x9f\x93\xb3
536;u+0001f4f4;\xf0\x9f\x93\xb4
537;u+0001f4f5;\xf0\x9f\x93\xb5
538;u+0001f4f6;\xf0\x9f\x93\xb6
539;u+0001f4f7;\xf0\x9f\x93\xb7
540;u+0001f4f8;\xf0\x9f\x93\xb8
541;u+0001f4f9;\xf0\x9f\x93\xb9
542;u+0001f4fa;\xf0\x9f\x93\xba
543;u+0001f4fb;\xf0\x9f\x93\xbb
544;u+0001f4fc;\xf0\x9f\x93\xbc
545;u+0001f4ff;\xf0\x9f\x93\xbf
546;u+0001f500;\xf0\x9f\x94\x80
547;u+0001f501;\xf0\x9f\x94\x81
548;u+0001f502;\xf0\x9f\x94\x82
