,col1
1185,u+00002196u+0000fe0f
1186,u+00002197
1187,u+00002197u+0000fe0f
1188,u+00002198
1189,u+00002198u+0000fe0f
1190,u+00002199
1191,u+00002199u+0000fe0f
1192,u+000021a9
1193,u+000021a9u+0000fe0f
1194,u+000021aa
1195,u+000021aau+0000fe0f
1196,u+00002328
1197,u+00002328u+0000fe0f
1198,u+000023cf
1199,u+000023cfu+0000fe0f
1200,u+000023ed
1201,u+000023edu+0000fe0f
1202,u+000023ee
1203,u+000023eeu+0000fe0f
1204,u+000023ef
1205,u+000023efu+0000fe0f
1206,u+000023f1
1207,u+000023f1u+0000fe0f
1208,u+000023f2
1209,u+000023f2u+0000fe0f
1210,u+000023f8
1211,u+000023f8u+0000fe0f
1212,u+000023f9
1213,u+000023f9u+0000fe0f
1214,u+000023fa
1215,u+000023fau+0000fe0f
1216,u+000024c2
1217,u+000024c2u+0000fe0f
1218,u+000025aa
1219,u+000025aau+0000fe0f
1220,u+000025ab
1221,u+000025abu+0000fe0f
1222,u+000025b6
1223,u+000025b6u+0000fe0f
1224,u+000025c0
1225,u+000025c0u+0000fe0f
1226,u+000025fb
1227,u+000025fbu+0000fe0f
1228,u+000025fc
1229,u+000025fcu+0000fe0f
1230,u+00002600
1231,u+00002600u+0000fe0f
1232,u+00002601
1233,u+00002601u+0000fe0f
1234,u+00002602
1235,u+00002602u+0000fe0f
1236,u+00002603
1237,u+00002603u+0000fe0f
1238,u+00002604
1239,u+00002604u+0000fe0f
1240,u+0000260e
1241,u+0000260eu+0000fe0f
1242,u+00002611
1243,u+00002611u+0000fe0f
1244,u+00002618
1245,u+00002618u+0000fe0f
1246,u+0000261d
1247,u+0000261du+0000fe0f
1248,u+00002620
1249,u+00002620u+0000fe0f
1250,u+00002622
1251,u+00002622u+0000fe0f
1252,u+00002623
1253,u+00002623u+0000fe0f
1254,u+00002626
1255,u+00002626u+0000fe0f
1256,u+0000262a
1257,u+0000262au+0000fe0f
1258,u+0000262e
1259,u+0000262eu+0000fe0f
1260,u+0000262f
1261,u+0000262fu+0000fe0f
1262,u+00002638
1263,u+00002638u+0000fe0f
1264,u+00002639
1265,u+00002639u+0000fe0f
1266,u+0000263a
1267,u+0000263au+0000fe0f
1268,u+00002640
1269,u+00002640u+0000fe0f
1270,u+00002642
1271,u+00002642u+0000fe0f
1272,u+0000265f
1273,u+0000265fu+0000fe0f
1274,u+00002660
1275,u+00002660u+0000fe0f
1276,u+00002663
1277,u+00002663u+0000fe0f
1278,u+00002665
1279,u+00002665u+0000fe0f
1280,u+00002666
1281,u+00002666u+0000fe0f
1282,u+00002668
1283,u+00002668u+0000fe0f
1284,u+0000267b
1285,u+0000267bu+0000fe0f
1286,u+0000267e
1287,u+0000267eu+0000fe0f
1288,u+00002692
1289,u+00002692u+0000fe0f
1290,u+00002694
1291,u+00002694u+0000fe0f
1292,u+00002695
1293,u+00002695u+0000fe0f
1294,u+00002696
1295,u+00002696u+0000fe0f
1296,u+00002697
1297,u+00002697u+0000fe0f
1298,u+00002699
1299,u+00002699u+0000fe0f
1300,u+0000269b
1301,u+0000269bu+0000fe0f
1302,u+0000269c
1303,u+0000269cu+0000fe0f
1304,u+000026a0
1305,u+000026a0u+0000fe0f
1306,u+000026a7
1307,u+000026a7u+0000fe0f
1308,u+000026b0
1309,u+000026b0u+0000fe0f
1310,u+000026b1
1311,u+000026b1u+0000fe0f
1312,u+000026c8
1313,u+000026c8u+0000fe0f
1314,u+000026cf
1315,u+000026cfu+0000fe0f
1316,u+000026d1
1317,u+000026d1u+0000fe0f
1318,u+000026d3
1319,u+000026d3u+0000fe0f
1320,u+000026e9
1321,u+000026e9u+0000fe0f
1322,u+000026f0
1323,u+000026f0u+0000fe0f
1324,u+000026f1
1325,u+000026f1u+0000fe0f
1326,u+000026f4
1327,u+000026f4u+0000fe0f
1328,u+000026f7
1329,u+000026f7u+0000fe0f
1330,u+000026f8
1331,u+000026f8u+0000fe0f
1332,u+000026f9
1333,u+000026f9u+0000fe0f
1334,u+00002702
1335,u+00002702u+0000fe0f
1336,u+00002708
